name,location,founded,founders,tagline,website,description
ACI.dev,"London, UK",2024,"Will Lee, Hanyi Du",Connect your AI to any tool and build reliable AI agents,https://www.aci.dev/,ACI.dev is the open-source infrastructure layer for AI-agent tool-use and vibeOps. It gives agents intent-aware access to hundreds of tools through a unified Model-Context-Protocol (MCP) server.
Afori,"Barcelona, Spain",2025,"Fabian Weseman, Sergi Banos",AI for insurance brokers,https://www.afori.com/,Afori (in stealth) is creating a vertical Agentic AI solution purpose-built for insurance brokers
All Gravy,"Copenhagen, Denmark",2020,"Jonatan Rasmussen, Kristian Lundager",AI for frontline workers,https://www.allgravy.com/,"AI productivity tool for frontline workers - communication, training & operations"
Altertable,"Paris, France",2025,"Sylvain Utard, Kevin Granger, Yannick Utard",AI-driven proactive data platform,https://altertable.ai/,"We’re building an AI‑driven, proactive, unified platform that redefines how modern companies leverage their data."
Ameba,"London, UK",2023,"Cedrik Hoffmann, Craig Massie","Cut the wasted time, money & product in your supply chain",https://www.ameba.ai/,"Ameba is an AI-powered supply chain platform built for fashion and retail brands. It captures and analyzes data from all existing systems and communication channels — automatically tracking every SKU across the entire supply chain, from production to final delivery, in real time."
Anam,"London, UK",2023,"Caoimhe Murphy, Ben Carr",Bringing products to life with AI Avatars,https://anam.ai/,We build real time AI personas who feel as natural as interacting with a human
Ankar AI,"London, UK",2024,"Tamar Gomez, Wiem Gharbi",AI platform for Intellectual Property,https://ankar.ai/,"Ankar AI is the operating system of innovation, empowering IP and R&D teams with tailor-made artificial intelligence to operate more efficiently, thoroughly, and productively."
Anyshift,"Paris, France",2023,"Roxane Fischer, Stephane Jourdan",AI context for infrastructure,https://www.anyshift.io/,AI SRE based on a deep knowledge graph of the infrastructure
Aries Global,"London, UK",2024,"Michael Mitterlehner, Thibaut Ceyrolle  ",The AI operating System for B2B software,https://aries.global/,"Aries Global is a rapidly scaling software group, building the AI Operating System for B2B Software.  We acquire sticky SaaS companies to build multi-product scale and distribution, Accelerate them through centralized GTM and product infrastructure, and Autonomize operations using proprietary intell"
Arondite,"London, UK",2023,"Will Blyth, Rob Underhill",Connecting defense systems with Ai,https://www.arondite.com/,"Arondite is a defence technology company building the foundational software and AI to power the autonomous age. Our flagship software platform, Cobalt, enables defence users to connect up every sensor, to team with robots and autonomous systems at scale and manage the data they generate."
Cala AI,"Barcelona, Spain",2025,"Elisenda Bou Balust, Issey Masuda Mora ",A Better Way to Access Knowledge,https://cala.ai/,"CALA strengthens the foundations of the AI ecosystem with a new link: reliable, traceable, interconnected  knowledge. By curating and verifying internet data into a linked graph, Cala sets the gold standard for factual accuracy, enabling individuals, businesses, LLMs, and AI Agents to access smarter"
Clarifeye,"Paris, France",2025,"Mathieu Grisolia, Louis-Philippe Kronek, Maxime Mouchet",GenAI Knowledge Warehouse,https://www.clarifeye.ai/,"The challenge isn’t building smarter AI — it’s delivering the right data, in the right form, at the right time. Clarifeye solves this with a unified Knowledge Schema that connects your data, logic, and relationships, enabling agents to reason like your experts. With knowledge modeling, semantic sear"
